county,lat,lon,an_2002,po_2002,pc_2002,an_2003,po_2003,pc_2003,an_2004,po_2004,pc_2004,an_2005,po_2005,pc_2005,an_2006,po_2006,pc_2006,an_2007,po_2007,pc_2007,an_2008,po_2008,pc_2008,an_2009,po_2009,pc_2009,an_2010,po_2010,pc_2010,an_2011,po_2011,pc_2011,an_2012,po_2012,pc_2012,an_2013,po_2013,pc_2013,an_2014,po_2014,pc_2014,an_2015,po_2015,pc_2015,an_2016,po_2016,pc_2016,an_2017,po_2017,pc_2017,an_2018,po_2018,pc_2018,an_2019,po_2019,pc_2019,an_2020,po_2020,pc_2020
Grant,42.8700275,-90.6942288,8,0.00001,0.00001,30,0.00001,0.00001,103,0.00001,0.00001,130,0.00001,0.00001,1,0.00001,0.00001,7,0.00001,0.00001,172,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,183,2,0.010928962,19,0.00001,0.00001,1506,33,0.021912351,3,0.00001,0.00001,1,0.00001,0.00001,146,0.00001,0.00001,32,0.00001,0.00001,33,0.00001,0.00001,94,0.00001,0.00001
Green,42.6755218,-89.6050743,92,0.00001,0.00001,2822,77,0.027285613,31,0.00001,0.00001,2,0.00001,0.00001,60,0.00001,0.00001,33,0.00001,0.00001,3,0.00001,0.00001,1,0.00001,0.00001,71,1,0.014084507,123,0.00001,0.00001,152,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,7,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,113,0.00001,0.00001,1,0.00001,0.00001
Green Lake,43.7802469,-88.9703796,4,0.00001,0.00001,1,0.00001,0.00001,102,0.00001,0.00001,23,0.00001,0.00001,98,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,256,0.00001,0.00001,0.00001,0.00001,0.00001,455,11,0.024175824,230,0.00001,0.00001,1047,5,0.004775549,68,0.00001,0.00001,3,0.00001,0.00001,98,0.00001,0.00001,2,0.00001,0.00001,12,0.00001,0.00001,16,0.00001,0.00001,146,0.00001,0.00001
Iowa,43.0010208,-90.1336915,536,6,0.01119403,143,0.00001,0.00001,1,0.00001,0.00001,19,0.00001,0.00001,4,0.00001,0.00001,32,0.00001,0.00001,3,0.00001,0.00001,8,0.00001,0.00001,220,0.00001,0.00001,298,0.00001,0.00001,321,0.00001,0.00001,1,0.00001,0.00001,206,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,295,0.00001,0.00001,21,0.00001,0.00001,1141,38,0.033304119,12,0.00001,0.00001
Iron,46.32655,-90.2612985,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,326,0.00001,0.00001,1,0.00001,0.00001,350,0.00001,0.00001,227,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,92,1,0.010869565,190,0.00001,0.00001,6,0.00001,0.00001,2373,107,0.045090603,219,0.00001,0.00001,7,0.00001,0.00001
Jackson,44.3245897,-90.7995104,96,0.00001,0.00001,10,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,88,1,0.011363636,417,0.00001,0.00001,363,0.00001,0.00001,2,0.00001,0.00001,6,0.00001,0.00001,6,0.00001,0.00001,9,0.00001,0.00001,3,0.00001,0.00001,30,0.00001,0.00001,467,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,344,0.00001,0.00001,17,0.00001,0.00001
Jefferson,43.0138045,-88.7739847,441,0.00001,0.00001,2,0.00001,0.00001,243,0.00001,0.00001,572,21,0.036713287,273,0.00001,0.00001,2,0.00001,0.00001,717,6,0.008368201,421,0.00001,0.00001,5,0.00001,0.00001,397,0.00001,0.00001,1,0.00001,0.00001,39,0.00001,0.00001,10,0.00001,0.00001,321,0.00001,0.00001,351,7,0.01994302,255,0.00001,0.00001,32,0.00001,0.00001,2,0.00001,0.00001,14,0.00001,0.00001
Juneau,43.9328362,-90.1139837,1,0.00001,0.00001,4,0.00001,0.00001,19,0.00001,0.00001,548,2,0.003649635,45,0.00001,0.00001,1080,31,0.028703704,10,0.00001,0.00001,3,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,235,0.00001,0.00001,146,0.00001,0.00001,4,0.00001,0.00001,2084,103,0.049424184,2,0.00001,0.00001,55,1,0.018181818,16,0.00001,0.00001,76,1,0.013157895,2,0.00001,0.00001
Kenosha,42.5797034,-87.85,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,11,0.00001,0.00001,7,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,23,0.00001,0.00001,2,0.00001,0.00001,933,7,0.00750268,383,18,0.046997389,1099,12,0.010919017
Kewaunee,44.5010324,-87.55,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,0.00001,0.00001,0.00001,42,0.00001,0.00001,262,4,0.015267176,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,19,0.00001,0.00001,2,0.00001,0.00001,16,0.00001,0.00001,1,0.00001,0.00001,7,0.00001,0.00001
La Crosse,43.9082222,-91.1117584,2,0.00001,0.00001,33,0.00001,0.00001,0.00001,0.00001,0.00001,175,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,154,1,0.006493506,0.00001,0.00001,0.00001,29,0.00001,0.00001,0.00001,0.00001,0.00001,1316,35,0.026595745,170,0.00001,0.00001,1,0.00001,0.00001,158,0.00001,0.00001,128,2,0.015625,1853,138,0.074473826,3,0.00001,0.00001,697,1,0.00143472,10,0.00001,0.00001
Lafayette,42.6555782,-90.1302916,1,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,95,3,0.031578947,4,0.00001,0.00001,5,0.00001,0.00001,5,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,45,0.00001,0.00001,1,0.00001,0.00001,660,11,0.016666667,417,9,0.021582734,914,16,0.01750547,2,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001
Langlade,45.2623814,-89.0677254,1,0.00001,0.00001,8,0.00001,0.00001,0.00001,0.00001,0.00001,29,0.00001,0.00001,305,3,0.009836066,1,0.00001,0.00001,164,0.00001,0.00001,3,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,17,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,16,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001
Lincoln,45.3384167,-89.7423088,183,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,2,0.00001,0.00001,93,1,0.010752688,23,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,934,43,0.046038544,3,0.00001,0.00001,1,0.00001,0.00001,7,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,108,0.00001,0.00001,38,0.00001,0.00001
Manitowoc,44.156137,-87.78,5,0.00001,0.00001,1567,143,0.091257179,0.00001,0.00001,0.00001,2,0.00001,0.00001,19,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,59,1,0.016949153,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,4,0.00001,0.00001,13,0.00001,0.00001,2,0.00001,0.00001,3,0.00001,0.00001
Marathon,44.8980363,-89.757823,1,0.00001,0.00001,0.00001,0.00001,0.00001,9,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,75,0.00001,0.00001,5,0.00001,0.00001,607,9,0.014827018,335,14,0.041791045,1,0.00001,0.00001,823,26,0.031591738,2,0.00001,0.00001,3,0.00001,0.00001,25,0.00001,0.00001,5,0.00001,0.00001,34,0.00001,0.00001,1,0.00001,0.00001,233,1,0.004291845,1,1,1
Marinette,45.3468989,-87.991198,1,0.00001,0.00001,16,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,20,0.00001,0.00001,16,0.00001,0.00001,98,1,0.010204082,1,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,147,0.00001,0.00001,0.00001,0.00001,0.00001,13,0.00001,0.00001,2,0.00001,0.00001,210,0.00001,0.00001,30,0.00001,0.00001,83,4,0.048192771,21,0.00001,0.00001,714,45,0.06302521
Marquette,43.8260529,-89.4090953,123,0.00001,0.00001,4,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,3,0.00001,0.00001,145,3,0.020689655,66,2,0.03030303,4,0.00001,0.00001,1330,190,0.142857143,59,0.00001,0.00001,48,5,0.104166667,54,1,0.018518519,113,0.00001,0.00001,2,0.00001,0.00001,3,0.00001,0.00001,33,0.00001,0.00001,1,0.00001,0.00001,12,0.00001,0.00001,2,0.00001,0.00001
Menominee,44.9913041,-88.6692512,0.00001,0.00001,0.00001,10,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,11,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001
Milwaukee,43.0176601,-87.9,10,0.00001,0.00001,94,1,0.010638298,15,0.00001,0.00001,117,1,0.008547009,592,18,0.030405405,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,322,12,0.037267081,19,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,909,47,0.051705171,0.00001,0.00001,0.00001,47,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,2,0.00001,0.00001,5,1,0.2,32,0.00001,0.00001
Monroe,43.9451751,-90.6199687,3,0.00001,0.00001,274,6,0.02189781,688,0.00001,0.00001,3,0.00001,0.00001,47,2,0.042553191,3,0.00001,0.00001,4,0.00001,0.00001,40,0.00001,0.00001,256,1,0.00390625,16,0.00001,0.00001,65,0.00001,0.00001,17,0.00001,0.00001,1,0.00001,0.00001,6,0.00001,0.00001,129,0.00001,0.00001,1,0.00001,0.00001,21,0.00001,0.00001,78,5,0.064102564,114,0.00001,0.00001
Oconto,44.9965754,-88.2065162,705,53,0.075177305,173,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,5,0.00001,0.00001,350,3,0.008571429,168,4,0.023809524,0.00001,0.00001,0.00001,1,0.00001,0.00001,1591,226,0.142049026,60,0.00001,0.00001,34,0.00001,0.00001,87,0.00001,0.00001,2,0.00001,0.00001,97,3,0.030927835,1,0.00001,0.00001,90,0.00001,0.00001,5,0.00001,0.00001
Oneida,45.7161762,-89.5345333,1,0.00001,0.00001,4,0.00001,0.00001,0.00001,0.00001,0.00001,3,0.00001,0.00001,8,0.00001,0.00001,4,0.00001,0.00001,1,0.00001,0.00001,4,0.00001,0.00001,16,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,256,3,0.01171875,23,0.00001,0.00001,1,0.00001,0.00001,227,10,0.044052863,403,7,0.017369727,7,0.00001,0.00001
Outagamie,44.4182258,-88.4649883,1,0.00001,0.00001,548,39,0.071167883,29,0.00001,0.00001,2,0.00001,0.00001,0.00001,0.00001,0.00001,2,0.00001,0.00001,2,0.00001,0.00001,222,0.00001,0.00001,2,0.00001,0.00001,140,3,0.021428571,345,0.00001,0.00001,84,0.00001,0.00001,0.00001,0.00001,0.00001,125,0.00001,0.00001,32,0.00001,0.00001,25,0.00001,0.00001,1,0.00001,0.00001,70,0.00001,0.00001,274,2,0.00729927
Ozaukee,43.3607524,-87.88,72,0.00001,0.00001,3,0.00001,0.00001,5,0.00001,0.00001,98,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,0.00001,0.00001,0.00001,1,0.00001,0.00001,284,3,0.01056338,59,0.00001,0.00001,760,50,0.065789474,29,0.00001,0.00001,1,0.00001,0.00001,2,0.00001,0.00001,1,0.00001,0.00001,125,3,0.024,53,2,0.037735849,1,0.00001,0.00001
